Episode,Total Reward,Loss,Epsilon
0,352.0,0.3366636037826538,1.0
1,308.0,5.493643760681152,0.999
2,352.0,0.3707687258720398,0.998001
3,440.0,1.158018708229065,0.997002999
4,440.0,53.041282653808594,0.996005996001
5,88.0,56.76579284667969,0.995009990004999
6,352.0,56.377235412597656,0.994014980014994
7,220.0,0.39786648750305176,0.993020965034979
8,264.0,0.6945242285728455,0.992027944069944
9,528.0,0.49790269136428833,0.991035916125874
10,352.0,0.2250618189573288,0.9900448802097482
11,396.0,58.01924514770508,0.9890548353295384
12,264.0,1.8622267246246338,0.9880657804942089
13,352.0,1.349057912826538,0.9870777147137147
14,264.0,0.7570780515670776,0.986090636999001
15,264.0,0.5999361276626587,0.985104546362002
16,528.0,0.40115880966186523,0.9841194418156399
17,572.0,57.22473907470703,0.9831353223738244
18,220.0,57.27100372314453,0.9821521870514505
19,484.0,0.8411118388175964,0.981170034864399
20,132.0,58.84490203857422,0.9801888648295347
21,528.0,0.579321563243866,0.9792086759647052
22,352.0,60.67962646484375,0.9782294672887404
23,396.0,0.9011855125427246,0.9772512378214517
24,396.0,107.0062255859375,0.9762739865836302
25,308.0,0.42924249172210693,0.9752977125970466
26,220.0,0.549688458442688,0.9743224148844496
27,396.0,1.6101515293121338,0.9733480924695651
28,220.0,0.8605321049690247,0.9723747443770956
29,308.0,0.9967600107192993,0.9714023696327184
30,220.0,0.3005208373069763,0.9704309672630858
31,308.0,0.5887405276298523,0.9694605362958226
32,484.0,67.136474609375,0.9684910757595268
33,176.0,62.63048553466797,0.9675225846837673
34,440.0,0.6318738460540771,0.9665550620990835
35,132.0,56.68802261352539,0.9655885070369844
36,440.0,0.46721094846725464,0.9646229185299474
37,660.0,55.78529357910156,0.9636582956114175
38,176.0,1.6989240646362305,0.9626946373158061
39,176.0,46.023563385009766,0.9617319426784903
40,220.0,1.1558232307434082,0.9607702107358118
41,308.0,0.8287135362625122,0.959809440525076
42,352.0,0.519431471824646,0.9588496310845509
43,220.0,0.5562951564788818,0.9578907814534663
44,616.0,0.4118478298187256,0.9569328906720129
45,528.0,43.210350036621094,0.9559759577813408
46,308.0,0.8103854656219482,0.9550199818235595
47,756.0,1.2089158296585083,0.954064961841736
48,352.0,1.0245604515075684,0.9531108968798943
49,572.0,0.6602489352226257,0.9521577859830144
50,396.0,2.0731472969055176,0.9512056281970314
51,220.0,2.6584930419921875,0.9502544225688343
52,308.0,1.7427661418914795,0.9493041681462654
53,440.0,1.7687526941299438,0.9483548639781192
54,440.0,2.3184239864349365,0.947406509114141
55,660.0,2.1825551986694336,0.9464591026050269
56,264.0,51.38622283935547,0.9455126435024219
57,708.0,1.0167945623397827,0.9445671308589194
58,176.0,1.3468949794769287,0.9436225637280605
59,660.0,0.9657543897628784,0.9426789411643325
60,440.0,2.174278736114502,0.9417362622231682
61,660.0,2.2829060554504395,0.9407945259609449
62,708.0,1.5493446588516235,0.9398537314349841
63,440.0,0.8452962040901184,0.9389138777035491
64,308.0,44.635772705078125,0.9379749638258454
65,352.0,2.047316312789917,0.9370369888620197
66,396.0,46.838050842285156,0.9360999518731576
67,176.0,1.7857067584991455,0.9351638519212845
68,308.0,0.6348819732666016,0.9342286880693632
