Episode,Total Reward,Loss,Epsilon
0,250.0,11.616216659545898,1.0
1,210.0,6.080443382263184,0.9999
2,220.0,3.1336190700531006,0.9998000100000001
3,140.0,2.92326283454895,0.999700029999
4,220.0,0.29807913303375244,0.9996000599960001
5,260.0,3.1900815963745117,0.9995000999900006
6,200.0,0.2192157655954361,0.9994001499800016
7,180.0,5.658229351043701,0.9993002099650036
8,200.0,3.0267419815063477,0.9992002799440071
9,190.0,5.980192184448242,0.9991003599160126
10,230.0,5.771108627319336,0.9990004498800211
11,130.0,8.720443725585938,0.9989005498350331
12,250.0,0.0961160957813263,0.9988006597800496
13,200.0,0.06551788002252579,0.9987007797140717
14,170.0,3.064528703689575,0.9986009096361003
15,410.0,5.936928749084473,0.9985010495451366
16,240.0,3.1456544399261475,0.9984011994401821
17,160.0,0.10746127367019653,0.9983013593202381
18,140.0,2.771965742111206,0.9982015291843062
19,260.0,8.458756446838379,0.9981017090313877
20,210.0,2.6880903244018555,0.9980018988604845
21,200.0,8.37049674987793,0.9979020986705985
22,230.0,0.3390406668186188,0.9978023084607315
23,210.0,3.027073383331299,0.9977025282298854
24,110.0,2.910043954849243,0.9976027579770624
25,710.0,3.157867908477783,0.9975029977012647
26,280.0,5.407238483428955,0.9974032474014947
27,330.0,2.7055742740631104,0.9973035070767545
28,240.0,2.8520379066467285,0.9972037767260469
29,160.0,9.021162033081055,0.9971040563483742
30,430.0,0.28157463669776917,0.9970043459427395
31,340.0,2.826559066772461,0.9969046455081452
32,250.0,3.370042324066162,0.9968049550435943
33,260.0,0.15228372812271118,0.99670527454809
34,280.0,0.21569421887397766,0.9966056040206351
35,90.0,3.2023684978485107,0.9965059434602331
36,260.0,2.2514119148254395,0.9964062928658871
37,170.0,0.30191516876220703,0.9963066522366005
38,240.0,3.025697708129883,0.9962070215713769
39,180.0,4.3544793128967285,0.9961074008692198
40,210.0,2.4042844772338867,0.9960077901291329
41,200.0,0.42273420095443726,0.9959081893501199
42,190.0,2.9137561321258545,0.995808598531185
43,310.0,0.17048531770706177,0.9957090176713318
44,190.0,0.5070167779922485,0.9956094467695648
45,480.0,0.2390473186969757,0.9955098858248878
46,190.0,3.0324172973632812,0.9954103348363053
47,150.0,3.417135000228882,0.9953107938028217
48,200.0,5.536678314208984,0.9952112627234414
49,220.0,0.29130473732948303,0.9951117415971691
50,130.0,0.4508841633796692,0.9950122304230093
51,220.0,3.3088111877441406,0.9949127291999671
52,200.0,6.805758953094482,0.9948132379270471
53,230.0,0.2930440306663513,0.9947137566032545
54,340.0,2.9793028831481934,0.9946142852275941
55,370.0,5.98252534866333,0.9945148237990713
56,170.0,2.2895469665527344,0.9944153723166914
57,230.0,0.8747608661651611,0.9943159307794598
58,210.0,2.4961917400360107,0.9942164991863819
59,250.0,1.9097007513046265,0.9941170775364633
60,330.0,2.7146570682525635,0.9940176658287095
61,210.0,8.35411548614502,0.9939182640621267
62,200.0,0.12758401036262512,0.9938188722357205
63,250.0,2.2624614238739014,0.9937194903484969
64,190.0,8.92418098449707,0.9936201183994622
65,200.0,5.064814567565918,0.9935207563876222
66,230.0,0.19810549914836884,0.9934214043119834
67,320.0,3.1099696159362793,0.9933220621715523
68,290.0,1.6128286123275757,0.9932227299653351
69,140.0,4.057200908660889,0.9931234076923386
70,140.0,1.3749709129333496,0.9930240953515693
71,240.0,0.37223249673843384,0.9929247929420342
72,190.0,2.251560926437378,0.99282550046274
73,260.0,0.1585138738155365,0.9927262179126938
74,200.0,5.372305870056152,0.9926269452909025
75,200.0,0.6402843594551086,0.9925276825963735
76,240.0,6.585683345794678,0.9924284298281139
77,260.0,5.206381797790527,0.992329186985131
78,150.0,0.2802850306034088,0.9922299540664326
79,220.0,5.483456134796143,0.9921307310710259
80,230.0,0.0800657793879509,0.9920315179979188
81,230.0,4.162615776062012,0.991932314846119
82,140.0,7.727786064147949,0.9918331216146344
83,210.0,0.4857882261276245,0.9917339383024729
84,270.0,0.4744173288345337,0.9916347649086427
85,320.0,2.267207622528076,0.9915356014321518
86,180.0,3.635089874267578,0.9914364478720087
87,360.0,3.812460422515869,0.9913373042272214
88,120.0,0.8370115756988525,0.9912381704967987
89,260.0,2.879321813583374,0.9911390466797491
90,230.0,0.9910650253295898,0.9910399327750811
91,1150.0,1.6848344802856445,0.9909408287818036
92,260.0,2.986365556716919,0.9908417346989254
93,150.0,0.6614526510238647,0.9907426505254555
94,270.0,2.9878761768341064,0.990643576260403
95,180.0,4.955787658691406,0.990544511902777
96,270.0,3.714522361755371,0.9904454574515867
97,240.0,2.1186134815216064,0.9903464129058416
98,260.0,0.5373413562774658,0.990247378264551
99,130.0,0.3168068826198578,0.9901483535267246
100,220.0,9.354113578796387,0.9900493386913719
101,220.0,0.8808397054672241,0.9899503337575027
102,200.0,0.8853030204772949,0.989851338724127
103,160.0,3.593358039855957,0.9897523535902546
104,150.0,5.138980865478516,0.9896533783548956
105,230.0,1.5148100852966309,0.9895544130170602
106,200.0,0.8898493647575378,0.9894554575757585
107,200.0,7.128041744232178,0.9893565120300009
108,230.0,0.6573836803436279,0.9892575763787979
109,240.0,0.42488187551498413,0.98915865062116
110,170.0,3.4158427715301514,0.9890597347560979
111,310.0,2.0679261684417725,0.9889608287826224
112,120.0,0.22734671831130981,0.9888619326997441
113,180.0,3.147462844848633,0.9887630465064741
114,210.0,0.3830678462982178,0.9886641702018235
115,240.0,2.741034746170044,0.9885653037848033
116,330.0,3.2353715896606445,0.9884664472544248
117,240.0,1.8111064434051514,0.9883676006096994
118,180.0,4.550220012664795,0.9882687638496385
119,190.0,5.7978949546813965,0.9881699369732535
120,160.0,1.6090795993804932,0.9880711199795562
121,380.0,8.151117324829102,0.9879723128675583
122,220.0,6.32341194152832,0.9878735156362715
123,160.0,2.1145987510681152,0.9877747282847079
124,190.0,3.8574888706207275,0.9876759508118794
125,250.0,1.1326274871826172,0.9875771832167982
126,130.0,6.400796413421631,0.9874784254984765
127,350.0,0.6672168970108032,0.9873796776559267
128,180.0,4.144843578338623,0.9872809396881611
