Episode,Total Reward,Loss,Epsilon
0,-21.0,0.00033603550400584936,1.0
1,-21.0,0.0003601829521358013,0.999
2,-21.0,0.0007244740845635533,0.998001
3,-21.0,0.0004752927634399384,0.997002999
4,-20.0,0.0005936016095802188,0.996005996001
5,-20.0,0.00022293640358839184,0.995009990004999
6,-21.0,0.030655859038233757,0.994014980014994
7,-21.0,0.0003350767074152827,0.993020965034979
8,-20.0,0.0014908292796462774,0.992027944069944
9,-21.0,0.026163233444094658,0.991035916125874
10,-21.0,0.0018490789225324988,0.9900448802097482
11,-21.0,0.005563228856772184,0.9890548353295384
12,-19.0,0.03888669237494469,0.9880657804942089
13,-21.0,0.0013639188837260008,0.9870777147137147
14,-18.0,0.018652651458978653,0.986090636999001
15,-21.0,0.042277853935956955,0.985104546362002
16,-20.0,0.0028856219723820686,0.9841194418156399
17,-20.0,0.0005474592326208949,0.9831353223738244
18,-19.0,0.0005752418073825538,0.9821521870514505
19,-21.0,0.0029722820036113262,0.981170034864399
20,-21.0,0.016753431409597397,0.9801888648295347
21,-21.0,0.0012577831512317061,0.9792086759647052
22,-21.0,0.0009835322853177786,0.9782294672887404
23,-20.0,0.0008593624806962907,0.9772512378214517
24,-21.0,0.0011476408690214157,0.9762739865836302
25,-19.0,0.002080855192616582,0.9752977125970466
26,-21.0,0.0007823110208846629,0.9743224148844496
27,-20.0,0.03189048916101456,0.9733480924695651
28,-20.0,0.0007749113719910383,0.9723747443770956
29,-20.0,0.0011204532347619534,0.9714023696327184
30,-20.0,0.0010032374411821365,0.9704309672630858
31,-21.0,0.0006285867420956492,0.9694605362958226
32,-21.0,0.0003226871485821903,0.9684910757595268
33,-21.0,0.0009005795582197607,0.9675225846837673
34,-21.0,0.016369417309761047,0.9665550620990835
35,-21.0,0.0003242944076191634,0.9655885070369844
36,-21.0,0.0007212203345261514,0.9646229185299474
37,-21.0,0.0010241346899420023,0.9636582956114175
38,-21.0,0.02864832803606987,0.9626946373158061
39,-20.0,0.0010301447473466396,0.9617319426784903
40,-21.0,0.00025685608852654696,0.9607702107358118
41,-21.0,0.0003205508692190051,0.959809440525076
42,-21.0,0.0004216914821881801,0.9588496310845509
43,-21.0,0.0003019745636265725,0.9578907814534663
44,-21.0,0.006271248683333397,0.9569328906720129
45,-19.0,0.0003280630335211754,0.9559759577813408
46,-21.0,0.0018236460164189339,0.9550199818235595
47,-19.0,0.01601749286055565,0.954064961841736
48,-20.0,0.00040977192111313343,0.9531108968798943
49,-21.0,0.0008625744376331568,0.9521577859830144
50,-21.0,0.005011930596083403,0.9512056281970314
51,-21.0,0.0016391327371820807,0.9502544225688343
52,-17.0,0.0010569144506007433,0.9493041681462654
53,-21.0,0.007545798551291227,0.9483548639781192
54,-19.0,0.005218536593019962,0.947406509114141
55,-20.0,0.009879307821393013,0.9464591026050269
56,-19.0,0.02977076731622219,0.9455126435024219
57,-21.0,0.011245043016970158,0.9445671308589194
58,-21.0,0.001741944346576929,0.9436225637280605
59,-18.0,0.0028030069079250097,0.9426789411643325
60,-20.0,0.0009175086743198335,0.9417362622231682
61,-21.0,0.0019024134380742908,0.9407945259609449
62,-21.0,0.002499495167285204,0.9398537314349841
63,-21.0,0.0008014653576537967,0.9389138777035491
64,-21.0,0.00077662686817348,0.9379749638258454
65,-21.0,0.0016061700880527496,0.9370369888620197
66,-20.0,0.005160880275070667,0.9360999518731576
67,-19.0,0.004287769552320242,0.9351638519212845
68,-19.0,0.0036837314255535603,0.9342286880693632
69,-21.0,0.02940913289785385,0.9332944593812939
70,-19.0,0.0020368476398289204,0.9323611649219126
71,-21.0,0.0037683916743844748,0.9314288037569907
72,-21.0,0.0021372814662754536,0.9304973749532336
73,-21.0,0.0014929180033504963,0.9295668775782804
74,-21.0,0.0014061776455491781,0.9286373107007021
75,-20.0,0.0025631317403167486,0.9277086733900014
76,-19.0,0.0026308177039027214,0.9267809647166114
77,-20.0,0.0010242119897156954,0.9258541837518948
78,-19.0,0.0009720218367874622,0.9249283295681429
79,-20.0,0.002501472132280469,0.9240034012385747
80,-20.0,0.0010607312433421612,0.9230793978373362
81,-21.0,0.0019655274227261543,0.9221563184394989
82,-21.0,0.008448953740298748,0.9212341621210594
83,-21.0,0.0005220916937105358,0.9203129279589383
84,-21.0,0.002437491901218891,0.9193926150309794
85,-20.0,0.025460906326770782,0.9184732224159483
86,-20.0,0.002017474267631769,0.9175547491935324
87,-21.0,0.0019049474503844976,0.9166371944443389
88,-18.0,0.0004884337540715933,0.9157205572498945
89,-21.0,0.0007657336536794901,0.9148048366926447
90,-21.0,0.0008461677934974432,0.913890031855952
91,-21.0,0.0007046415703371167,0.912976141824096
92,-19.0,0.0006046294583939016,0.912063165682272
93,-21.0,0.021668756380677223,0.9111511025165897
94,-21.0,0.0010306257754564285,0.9102399514140731
95,-21.0,0.010266710072755814,0.9093297114626591
96,-21.0,0.029686640948057175,0.9084203817511963
97,-19.0,0.029488783329725266,0.9075119613694451
98,-19.0,0.001094046514481306,0.9066044494080757
99,-21.0,0.0008947734022513032,0.9056978449586677
100,-20.0,0.04140080139040947,0.9047921471137089
101,-21.0,0.018472783267498016,0.9038873549665952
102,-20.0,0.007850417867302895,0.9029834676116286
103,-20.0,0.0038177226670086384,0.902080484144017
104,-19.0,0.006553286220878363,0.901178403659873
105,-21.0,0.0272115059196949,0.9002772252562131
106,-20.0,0.021766791120171547,0.8993769480309569
107,-21.0,0.004050698596984148,0.8984775710829259
108,-21.0,0.01820475235581398,0.8975790935118431
109,-21.0,0.022500835359096527,0.8966815144183312
110,-21.0,0.002834702143445611,0.8957848329039129
111,-21.0,0.0025491691194474697,0.894889048071009
112,-21.0,0.002479459624737501,0.8939941590229379
113,-20.0,0.001848884392529726,0.893100164863915
114,-19.0,0.03621486574411392,0.8922070646990511
115,-21.0,0.005837552715092897,0.891314857634352
116,-20.0,0.0018017145339399576,0.8904235427767176
117,-20.0,0.0017584445886313915,0.889533119233941
118,-21.0,0.0019031291594728827,0.8886435861147071
119,-21.0,0.001165723311714828,0.8877549425285923
120,-21.0,0.0017238083528354764,0.8868671875860638
121,-20.0,0.002074523363262415,0.8859803203984776
122,-20.0,0.0032853512093424797,0.8850943400780792
123,-21.0,0.001205384498462081,0.8842092457380011
124,-20.0,0.0009190312121063471,0.8833250364922631
125,-21.0,0.0016802380559965968,0.8824417114557709
126,-20.0,0.0002645207569003105,0.8815592697443151
127,-19.0,0.0008626490598544478,0.8806777104745708
128,-19.0,0.0052250949665904045,0.8797970327640962
